"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"283","TF-PRA -- SC/P","SC/P - VHnL/P",478,"DEFORESTACION PRADERA","TF-PRA","SC/P","SC/P",939,17.4,5.3,119.5,2079.3,0,5.3,121446791.6841
"284","TF-PRA -- SC/S","SC/S - EOTnL/P",6,"DEFORESTACION PRADERA","TF-PRA","SC/S","SC/S",613,12.6,7.6,1.5,18.9,0,7.6,20632.4496
"285","TF-PRA -- SC/S","SC/S - P",100887,"DEFORESTACION PRADERA","TF-PRA","SC/S","SC/S",613,12.6,7.6,25221.75,317794.05,0,7.6,5833359042521.65
"286","TF-PRA -- SC/S","SC/S - VHnL/P",20,"DEFORESTACION PRADERA","TF-PRA","SC/S","SC/S",613,12.6,7.6,5,63,0,7.6,229249.44
"287","TF-PRA -- SP/P","SP/P - EOTnL/P",5,"DEFORESTACION PRADERA","TF-PRA","SP/P","SP/P",2375,40.4,2.9,1.25,50.5,0,2.9,21447.6025
"288","TF-PRA -- SP/P","SP/P - P",108951,"DEFORESTACION PRADERA","TF-PRA","SP/P","SP/P",2375,40.4,2.9,27237.75,1100405.1,0,2.9,10183596540331.5
"289","TF-PRA -- SP/P","SP/P - VHnL/P",8484,"DEFORESTACION PRADERA","TF-PRA","SP/P","SP/P",2375,40.4,2.9,2121,85688.4,0,2.9,61750440933.2496
"290","TF-PRA -- SP/S","SP/S - VHnL/P",1024,"DEFORESTACION PRADERA","TF-PRA","SP/S","SP/S",585,19.7,9.1,256,5043.2,0,9.1,2106178463.3344
"291","TF-PRA -- SP/S","SP/S - P",65677,"DEFORESTACION PRADERA","TF-PRA","SP/S","SP/S",585,19.7,9.1,16419.25,323459.225,0,9.1,8664068314375.71
"292","TF-PRA -- SSC/P","SSC/P - VHnL/P",666,"DEFORESTACION PRADERA","TF-PRA","SSC/P","SSC/P",993,30.2,4.8,166.5,5028.3,0,4.8,582538772.5056
"293","TF-PRA -- SSC/P","SSC/P - P",33218,"DEFORESTACION PRADERA","TF-PRA","SSC/P","SSC/P",993,30.2,4.8,8304.5,250795.9,0,4.8,1449183362844.9
"294","TF-PRA -- SSC/S","SSC/S - VHnL/P",107,"DEFORESTACION PRADERA","TF-PRA","SSC/S","SSC/S",491,16.1,8.9,26.75,430.675,0,8.9,14691946.4950563
"295","TF-PRA -- SSC/S","SSC/S - P",52333,"DEFORESTACION PRADERA","TF-PRA","SSC/S","SSC/S",491,16.1,8.9,13083.25,210640.325,0,8.9,3514495937540.73
"296","TF-PRA -- VHL/P","VHL/P - EOTnL/P",691,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,13.3,22.4,172.75,2297.575,0,22.4,2648716217.8624
"297","TF-PRA -- VHL/P","VHL/P - MXnL/P",161,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,13.3,22.4,40.25,535.325,0,22.4,143790796.0384
"298","TF-PRA -- VHL/P","VHL/P - MXnL/S",90,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,13.3,22.4,22.5,299.25,0,22.4,44932890.24
