"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"270","TF-PRA -- EOTnL/P",NA,NA,NA,NA,NA,"EOTnL/P",3,0.0357706041666667,182.043903317103,NA,NA,0,182.043903317103,NA
"271","TF-PRA -- MXL/P","MXL/P - VHnL/P",1,"DEFORESTACION PRADERA","TF-PRA","MXL/P","MXL/P",1484,1.6817068283428,6.56568029246681,0.25,0.4204267070857,0,6.56568029246681,7.61973829520518
"272","TF-PRA -- MXL/P","MXL/P - MXnL/S",461,"DEFORESTACION PRADERA","TF-PRA","MXL/P","MXL/P",1484,1.6817068283428,6.56568029246681,115.25,193.816711966508,0,6.56568029246681,1619354.4022353
"273","TF-PRA -- MXL/P","MXL/P - P",110394,"DEFORESTACION PRADERA","TF-PRA","MXL/P","MXL/P",1484,1.6817068283428,6.56568029246681,27598.5,46412.5859020188,0,6.56568029246681,92860495145.105
"274","TF-PRA -- MXL/P","MXL/P - MXnL/P",21648,"DEFORESTACION PRADERA","TF-PRA","MXL/P","MXL/P",1484,1.6817068283428,6.56568029246681,5412,9101.39735499123,0,6.56568029246681,3570882944.2169
"275","TF-PRA -- MXL/S","MXL/S - MXnL/S",73,"DEFORESTACION PRADERA","TF-PRA","MXL/S","MXL/S",198,1.23962327249022,19.9563894799346,18.25,22.6231247229465,0,19.9563894799346,203830.477647883
"276","TF-PRA -- MXL/S","MXL/S - P",51761,"DEFORESTACION PRADERA","TF-PRA","MXL/S","MXL/S",198,1.23962327249022,19.9563894799346,12940.25,16041.0350518416,0,19.9563894799346,102477546295.398
"277","TF-PRA -- MXL/S","MXL/S - VHnL/P",417,"DEFORESTACION PRADERA","TF-PRA","MXL/S","MXL/S",198,1.23962327249022,19.9563894799346,104.25,129.230726157105,0,19.9563894799346,6651131.15550999
"278","TF-PRA -- MXL/S","MXL/S - MXnL/P",249,"DEFORESTACION PRADERA","TF-PRA","MXL/S","MXL/S",198,1.23962327249022,19.9563894799346,62.25,77.1665487125162,0,19.9563894799346,2371494.36003873
"279","TF-PRA -- MXnL/P",NA,NA,NA,NA,NA,"MXnL/P",864,0.226944261877173,15.9336199543015,NA,NA,0,15.9336199543015,NA
"280","TF-PRA -- MXnL/S",NA,NA,NA,NA,NA,"MXnL/S",81,0.427553243055556,65.2725635894861,NA,NA,0,65.2725635894861,NA
"281","TF-PRA -- P",NA,NA,NA,NA,NA,"P",1806,4.8324827099197,6.41741360181262,NA,NA,0,6.41741360181262,NA
"282","TF-PRA -- SC/P","SC/P - P",97382,"DEFORESTACION PRADERA","TF-PRA","SC/P","SC/P",939,12.1688047623247,3.71287879272402,24345.5,296255.636341176,0,3.71287879272402,1209914794171.51
"283","TF-PRA -- SC/P","SC/P - VHnL/P",478,"DEFORESTACION PRADERA","TF-PRA","SC/P","SC/P",939,12.1688047623247,3.71287879272402,119.5,1454.1721690978,0,3.71287879272402,29150982.7794296
"284","TF-PRA -- SC/S","SC/S - EOTnL/P",6,"DEFORESTACION PRADERA","TF-PRA","SC/S","SC/S",613,8.11980867797645,5.41861172533156,1.5,12.1797130169647,0,5.41861172533156,4355.62192917041
"285","TF-PRA -- SC/S","SC/S - P",100887,"DEFORESTACION PRADERA","TF-PRA","SC/S","SC/S",613,8.11980867797645,5.41861172533156,25221.75,204795.784523753,0,5.41861172533156,1231453708062.46
"286","TF-PRA -- SC/S","SC/S - VHnL/P",20,"DEFORESTACION PRADERA","TF-PRA","SC/S","SC/S",613,8.11980867797645,5.41861172533156,5,40.5990433898822,0,5.41861172533156,48395.7992130045
"287","TF-PRA -- SP/P","SP/P - EOTnL/P",5,"DEFORESTACION PRADERA","TF-PRA","SP/P","SP/P",2375,34.6119392194407,1.73530928302119,1.25,43.2649240243009,0,1.73530928302119,5636.70973107598
"288","TF-PRA -- SP/P","SP/P - P",108951,"DEFORESTACION PRADERA","TF-PRA","SP/P","SP/P",2375,34.6119392194407,1.73530928302119,27237.75,942751.347474321,0,1.73530928302119,2676382020612.26
